,_id,alcohol_vol,balling,beer_name,beer_type,bitterness,brewery,color,description,dry_matter,ebc,group_type,ingredients,price,temperature,vol
110,5bf28f8ee1ac213a940c8f38,"5,5",,Rizmajer Cortez kukoricasör,,,rizmajersor.hu,,"A Cortez egy mexikói kocsmasör, amelynek ízvilága karakteresen különbözik a malátából készül söröktől. Míg a kukoricagríz a legtöbb sörfőzdében egy pótanyagot jelent, a Rizmajer Cortez sörének alapját, a sör főzésének gerincét jelenti. A Cortez a Rizmajer Sörfőzde különleges, kísérletező kedvű hozzáállásának eredménye. A testes és vaskos Cortez kukoricasör 12,5 Balling fokos, legfontosabb összetevői pedig a […]",,,,"Alk. 5,5% (V/V) Összetevők: csírátlanított kukorica gríz, pilseni maláta, sörélesztő, komló, enzim",,,
111,5bf28f8fe1ac213a940c8f39," 6,5%",,Zorall,,,rizmajersor.hu,,Zorall – Fekete IPA Brutal IPA – Brutal Black – Brutal Metal – Brutal Zorall,,,,"Alk. 6,5% (V/V) Összetevők: ivóvíz,  maláta (pilseni, müncheni, kristály, festő, csoki) ale típusú sörélesztő, komló (somcoe, mosaic, cascsade, idaho7)",,,
112,5bf28f8fe1ac213a940c8f3a,"6,5%",,Édes élet – Chocolate Stout,,,rizmajersor.hu,,"A Rózsavölgyi Csokoládé Műhely által pörkölt kakaóbab felhasználásával készült sörkülönlegesség, mely Takács Péter és Rizmajer József együttműködésének gyümölcse.",,,,"Alk. 6,5% (V/V) Összetevők: ivóvíz, Maris Otter,csokoládé-, kristály-, müncheni- és barna maláták, kakaóbab, barna nádcukor, komló, élesztő",,,
113,5bf28f8fe1ac213a940c8f3b,6.5,,Rizmajer Búza,,,rizmajersor.hu,,"Különleges szűretlen búzasör, magas alkohol tartalommal.",,,,"Alk.6.5% (V/V) Összetevők: ivóvíz, búza maláta, bécsi maláta, pilseni maláta, crystal maláta, aroma komló, sörélesztő",,,
114,5bf28f8fe1ac213a940c8f3c," 5,5%",,Pils of Simcoe,,,rizmajersor.hu,,Return of the Lager Rizmajer – Hopfanatic,,,,"Alk. 5,5% (V/V) Összetevők: ivóvíz,  maláta (Maris Otter), komló (Simcoe) sörélesztő.",,,
115,5bf28f8fe1ac213a940c8f3d,"0,5%",,Rizotto – Alkoholmentes Sör,,,rizmajersor.hu,,"Első magyar kisüzemi alkoholmentes sör, ami ráadásul finom is!",,,,"Alk.0,5% (V/V) Összetevők: ivóvíz, pilseni-, carapils-, specB maláta, fuggle komló, sörélesztő",,,
116,5bf28f8fe1ac213a940c8f3e,"6,5",,Rizmajer Cingulus fekete sör (Porter sör),,,rizmajersor.hu,,"Az „éjfekete csepeli porter” egy 17 Balling fokos sörkülönlegesség. A Rizmajer Porter sört egyedülállóan gazdag ízvilág és különleges zamat jellemzi. A főzés során olyan speciális összetevőket használunk, mint a müncheni maláta, a pilseni maláta, a kristály maláta, a fekete maláta, valamint az ale típusú sörélesztő. A 6,5 százalék alkohol tartalmával a sörünk „erős”, mint a […]",,,,"Alk. 6,5% (V/V) Összetevők: pilseni maláta, müncheni maláta, kristály maláta, fekete maláta, ale típusú sörélesztő, komló",,,
117,5bf28f8fe1ac213a940c8f3f," 6,5%",,Rizmajer Maibock,,,rizmajersor.hu,,Tavasz köszöntő Májusi Baksör a jellemző erősen komlózott ízjegyekkel.,,,,"Alk. 6,5% (V/V) Összetevők: ivóvíz, müncheni maláta, pilseni maláta, melanoid maláta, bécsi maláta, karamell maláta, zafír komló, sörélesztő.",,,
118,5bf28f8fe1ac213a940c8f40,"4,3",,Rizmajer Rumos-Szilvás Sörmix,,,rizmajersor.hu,,"Gyümölcsös sörkülönlegesség (11 B°) Gyümölcs velõre fejtett láger sör rumaromával. A Rizmajer Rumos-Szilvás sörmixe egyedi, saját receptúra alapján készül.",,,,"Alk. 4,3 % (V/V) Összetevők: víz, pilseni,maláta, szilvavelõ, komló,rumaroma, sörélesztõ",,,
119,5bf28f8fe1ac213a940c8f41," 6,5%",,424 – Füstös Porter Sör,,,rizmajersor.hu,,"Takács József és Rizmajer József Portere, melyhez a malátát cseresznyefán füstölték.",,,,"Alk. 6,5% (V/V) Összetevők: ivóvíz, karamell-, müncheni-, csokoládé és festő maláták, komló, élesztő",,,
